ns_green,ew_green,cycle,seed,waiting_time,co2,mean_queue,throughput,steps
27,27,60,42,81922.0,52533468.04365818,2.0305555555555554,900,3600
27,27,60,123,76322.0,51133672.413200416,1.9722222222222223,889,3600
27,27,60,999,80805.0,54380425.62229107,2.096111111111111,948,3600
