gen,best_fitness,mean_fitness,best_ns,best_ew
0,0.4763352241278327,4.815414714097374,11,11
1,0.4763352241278327,1.2165902859539812,11,11
2,0.449854675193684,1.2279589740838,10,11
3,0.41640949623566026,0.5294316995451561,10,10
4,0.41640949623566026,0.485482809452375,10,10
5,0.41640949623566026,0.4426753830646318,10,10
6,0.41640949623566026,0.43637635641429207,10,10
7,0.41640949623566026,0.4274409504058143,10,10
8,0.41640949623566026,0.42532522914129994,10,10
9,0.41640949623566026,0.4260254813044223,10,10
10,0.41640949623566026,0.44761884454178097,10,10
11,0.41640949623566026,0.42305811704779306,10,10
12,0.41640949623566026,0.41640949623566026,10,10
13,0.41640949623566026,0.42704816033862614,10,10
14,0.41640949623566026,0.4391020173987454,10,10
15,0.41640949623566026,0.41640949623566026,10,10
16,0.41640949623566026,0.4330820350584082,10,10
17,0.41640949623566026,0.43566932149598997,10,10
18,0.41640949623566026,0.41640949623566026,10,10
19,0.41640949623566026,0.423708513325831,10,10
20,0.41640949623566026,0.41640949623566026,10,10
21,0.41640949623566026,0.42887842087650674,10,10
22,0.41640949623566026,0.4352050871079647,10,10
23,0.41640949623566026,0.42704816033862614,10,10
24,0.41640949623566026,0.41640949623566026,10,10
25,0.41640949623566026,0.42667124069682616,10,10
26,0.41640949623566026,0.44040379560288995,10,10
27,0.41640949623566026,0.43897848058280725,10,10
28,0.41640949623566026,0.4202803351177343,10,10
29,0.41640949623566026,0.4210757569856341,10,10
30,0.41640949623566026,0.41920539650881333,10,10
31,0.41640949623566026,0.44067184208833804,10,10
32,0.41640949623566026,0.4439101808733062,10,10
33,0.41640949623566026,0.4213858580998918,10,10
34,0.41640949623566026,0.4324261447025511,10,10
35,0.41640949623566026,0.4368823591061816,10,10
36,0.41640949623566026,0.43204264054595204,10,10
37,0.41640949623566026,0.4376305499438268,10,10
38,0.41640949623566026,0.435629576257925,10,10
39,0.41640949623566026,0.43940900034447133,10,10
40,0.41640949623566026,0.43606138441702713,10,10
41,0.41640949623566026,0.4306672352522215,10,10
42,0.41640949623566026,0.42518267074481264,10,10
43,0.41640949623566026,0.4293522984282109,10,10
44,0.41640949623566026,0.41640949623566026,10,10
45,0.41640949623566026,0.42889186354578845,10,10
46,0.41640949623566026,0.42071451152375827,10,10
47,0.41640949623566026,0.41860807616983314,10,10
48,0.41640949623566026,0.42831923094337265,10,10
49,0.41640949623566026,0.4210314186681769,10,10
50,0.41640949623566026,0.4213858580998918,10,10
